# Name,# Value,# Unit,,,,,
# Temperature,150,K,,,,,
# Channel Width,3.00E-03,m,,,,,
# Channel Length,3.30E-04,m,,,,,
# Channel Thickness,1.00E-08,m,,,,,
# Dielectric Capacitance,8.70E-04,F m^{-2},,,,,
,,,,,,,
# Voltage (V),# Conductance (S),# Conductance (S),# Seebeck (V K^{-1}),# Seebeck (V K^{-1}),,,
-60,4.67E-06,4.67E-06,1.79E-05,1.80E-05,,,
-50,4.55E-06,4.63E-06,1.68E-05,1.77E-05,,,
-40,4.46E-06,4.58E-06,1.55E-05,1.70E-05,,,
-30,4.35E-06,4.51E-06,1.37E-05,1.63E-05,,,
-20,4.23E-06,4.41E-06,1.03E-05,1.50E-05,,,
-10,4.17E-06,4.25E-06,4.35E-06,1.15E-05,,,
0,4.27E-06,4.15E-06,-2.38E-06,4.17E-06,,,
10,4.44E-06,4.30E-06,-5.73E-06,-2.66E-06,,,
20,4.57E-06,4.47E-06,-6.83E-06,-5.26E-06,,,
30,4.65E-06,4.58E-06,-7.15E-06,-6.16E-06,,,
40,4.70E-06,4.66E-06,-7.16E-06,-6.56E-06,,,
50,4.75E-06,4.72E-06,-7.08E-06,-6.69E-06,,,
60,4.78E-06,4.81E-06,-7.13E-06,-6.91E-06,,,
# Scale,1,1,1,1,,,
# Initial Value,0,0,0,0,,,
# Lower Bound,-20,-20,-20,-20,,,
# Upper Bound,20,20,20,20,,,
# Unit,V,V,V,V,,,
